Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo,
Always Azul Pottery,43430,856401-1,19075,124,4,0,0,856401,480,-120,PO MISMATCH,7695601-20181127180022
Always Azul Pottery,43427,856401-1,19071,496,16,0,0,856401,480,-120,PO MISMATCH,7694761-20181127180022
Artisans Gallery,43255,789679-1,789679-1,60,0,0,0,789679,120,-60,PO MISMATCH,ARTISANS GALLERY 060518 789679-1N
Artisans Gallery,43396,789679-2,789679-2,65,5,0,0,789679,120,-60,PO MISMATCH,7705581-20181130180028
Artisans Gallery,43396,789679-2,789679-2,60,0,0,0,789679,120,-60,PO MISMATCH,7631750-20181026180026
Bacova Guild,43404,846888-1,4730993,5.75,0,0,0,846888,10.12,-11.63,PO MISMATCH,7645500-20181102180028
Bacova Guild,43430,846888-3,4742486,5.75,0,0,0,846888,10.12,-11.63,PO MISMATCH,7698771-20181130180028
Bacova Guild,43382,846888-2,4720951,10.25,0,0,0,846888,10.12,-11.63,PO MISMATCH,7593804-20181012180029
EVERGREEN ENTERPRISES,43424,858783-1,6698484,23.5,5,0,0,858783,17.5,-1,PO MISMATCH,7690701-20181127180022
Fireside Lodge,43432,859754-1,73439,1035,0,0,0,859754,921.2,-113.8,PO MISMATCH,7705108-20181130180028
Greenbox Art,43397,851338-2,175327,77.5,3,0,0,851338,70,-4.5,PO MISMATCH,7694589-20181127180022
HiEnd Accents,43432,870485-1,259727,249.5,5,0,0,870485,242,-2.5,PO MISMATCH,7708125-20181130180028
HiEnd Accents,43404,857202-7,256738,572,5,0,0,857202,599,-25,PO MISMATCH,7648432-20181102180028
HiEnd Accents,43425,857202-14,258932,62,5,0,0,857202,599,-25,PO MISMATCH,7694716-20181127180022
Kimlor,43431,869019-1,874816,62.75,3,0,0,869019,35,-24.75,PO MISMATCH,7701975-20181130180028
Mohawk Factoring LLC,43416,856881-1,9328926,74.8,0,0,0,856881,73.95,-0.85,PO MISMATCH,7694597-20181127180022
Red Horse Signs,43432,866728-2,21081,71.8,6,0,0,866728,56.91,-8.89,PO MISMATCH,7702416-20181130180028
Southwest Looms,43420,851098-1,1.11618E+11,800,0,0,0,851098,800,-800,PO MISMATCH,7690714-20181127180022
Southwest Looms,43420,851098-1,1.11618E+11,810,10,0,0,851098,800,-800,PO MISMATCH,7684072-20181120180030
UTAH MOUNTAIN FURNITURE,43424,851874-1,2725,470,0,0,0,851874,380,-90,PO MISMATCH,7694530-20181127180022
